,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
30,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",29,Black,"Spring, Summer, Warm Weather",XXL
31,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",28,Black,"Spring, Summer, Warm Weather",XL
32,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",27,Black,"Spring, Summer, Warm Weather",S
33,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",6,Cyan Blue,"Spring, Summer, Warm Weather",XXL
34,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",11,Carbon Dust,"Spring, Summer, Warm Weather",XS
35,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",10,Carbon Dust,"Spring, Summer, Warm Weather",XL
36,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",12,Carbon Dust,"Spring, Summer, Warm Weather",XXL
37,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",7,Carbon Dust,"Spring, Summer, Warm Weather",L
38,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",9,Carbon Dust,"Spring, Summer, Warm Weather",S
39,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",8,Carbon Dust,"Spring, Summer, Warm Weather",M
40,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",15,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",S
41,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",14,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",M
42,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",17,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",XS
43,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",16,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",XL
44,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",13,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",L
45,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",18,Flicker Pace Utility Blue Multi,"Spring, Summer, Warm Weather",XXL
46,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",11,Sheer Blue,"Spring, Summer, Warm Weather",XS
47,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",12,Sheer Blue,"Spring, Summer, Warm Weather",XXL
48,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",10,Sheer Blue,"Spring, Summer, Warm Weather",XL
49,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",9,Sheer Blue,"Spring, Summer, Warm Weather",S
50,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",8,Sheer Blue,"Spring, Summer, Warm Weather",M
51,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",7,Sheer Blue,"Spring, Summer, Warm Weather",L
52,"Surge Short 5""",Shorts,,Classic Fit,,"training, yoga, running, workout",3,Black,"Spring, Summer, Fall, Winter",S
53,"Surge Short 5""",Shorts,,Classic Fit,,"training, yoga, running, workout",2,Black,"Spring, Summer, Fall, Winter",M
54,"Surge Short 5""",Shorts,,Classic Fit,,"training, yoga, running, workout",5,Black,"Spring, Summer, Fall, Winter",XS
55,"Surge Short 5""",Shorts,,Classic Fit,,"training, yoga, running, workout",4,Black,"Spring, Summer, Fall, Winter",XL
56,"Surge Short 5""",Shorts,,Classic Fit,,"training, yoga, running, workout",6,Black,"Spring, Summer, Fall, Winter",XXL
57,"Surge Short 5""",Shorts,,Classic Fit,,"training, yoga, running, workout",1,Black,"Spring, Summer, Fall, Winter",L
58,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",3,Digital Bloom Blur Multi,"Spring, Summer, Warm Weather",S
59,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",2,Digital Bloom Blur Multi,"Spring, Summer, Warm Weather",M
60,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",1,Digital Bloom Blur Multi,"Spring, Summer, Warm Weather",L
61,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",6,Digital Bloom Blur Multi,"Spring, Summer, Warm Weather",XXL
62,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",5,Digital Bloom Blur Multi,"Spring, Summer, Warm Weather",XS
63,"Bowline Short 5"" *Stretch Ripstop",Shorts,"Swift, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",4,Digital Bloom Blur Multi,"Spring, Summer, Warm Weather",XL
64,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",2,Sheer Blue,"Spring, Summer, Warm Weather",M
65,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",1,Sheer Blue,"Spring, Summer, Warm Weather",L
66,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",5,Sheer Blue,"Spring, Summer, Warm Weather",XXL
67,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",4,Sheer Blue,"Spring, Summer, Warm Weather",XL
68,"Bowline Short 8"" *Stretch Ripstop",Shorts,"Warpstreme, Cotton, Ripstop",Classic Fit,"Drawstring, Pocketed","casual, On the Move",3,Sheer Blue,"Spring, Summer, Warm Weather",S
69,"Bowline Short 8"" *Woven",Shorts,,Classic Fit,"Anti Stink, Drawstring, Pocketed","casual, On the Move, travel",5,Cross Check True Navy Multi,"Spring, Summer, Warm Weather",L
70,"Bowline Short 8"" *Woven",Shorts,,Classic Fit,"Anti Stink, Drawstring, Pocketed","casual, On the Move, travel",6,Cross Check True Navy Multi,"Spring, Summer, Warm Weather",XXL
71,"Bowline Short 8"" *Woven",Shorts,,Classic Fit,"Anti Stink, Drawstring, Pocketed","casual, On the Move, travel",1,Cross Check True Navy Multi,"Spring, Summer, Warm Weather",XS
72,"Bowline Short 8"" *Woven",Shorts,,Classic Fit,"Anti Stink, Drawstring, Pocketed","casual, On the Move, travel",2,Cross Check True Navy Multi,"Spring, Summer, Warm Weather",XL
73,"Bowline Short 8"" *Woven",Shorts,,Classic Fit,"Anti Stink, Drawstring, Pocketed","casual, On the Move, travel",3,Cross Check True Navy Multi,"Spring, Summer, Warm Weather",S
74,"Bowline Short 8"" *Woven",Shorts,,Classic Fit,"Anti Stink, Drawstring, Pocketed","casual, On the Move, travel",4,Cross Check True Navy Multi,"Spring, Summer, Warm Weather",M
75,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",6,Pin Drop Camo Mini Pink Taupe Graphite Grey,"Fall, Spring, Summer, Warm Weather",XXL
76,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",1,Pin Drop Camo Mini Pink Taupe Graphite Grey,"Fall, Spring, Summer, Warm Weather",XS
77,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",5,Pin Drop Camo Mini Pink Taupe Graphite Grey,"Fall, Spring, Summer, Warm Weather",XL
78,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",2,Pin Drop Camo Mini Pink Taupe Graphite Grey,"Fall, Spring, Summer, Warm Weather",S
79,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",3,Pin Drop Camo Mini Pink Taupe Graphite Grey,"Fall, Spring, Summer, Warm Weather",M
80,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",9,Marker Check Grey Multi,"Fall, Spring, Summer, Warm Weather",M
81,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",37,Dark Olive,"Spring, Summer, Warm Weather",S
82,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",10,Marker Check Grey Multi,"Fall, Spring, Summer, Warm Weather",L
83,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",38,Dark Olive,"Spring, Summer, Warm Weather",XL
84,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",39,Dark Olive,"Spring, Summer, Warm Weather",XS
85,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",40,Dark Olive,"Spring, Summer, Warm Weather",XXL
86,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",4,Pin Drop Camo Mini Pink Taupe Graphite Grey,"Fall, Spring, Summer, Warm Weather",L
87,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",3,Cyan Blue,"Spring, Summer, Warm Weather",S
88,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",5,Cyan Blue,"Spring, Summer, Warm Weather",XS
89,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",4,Cyan Blue,"Spring, Summer, Warm Weather",XL
90,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",1,Cyan Blue,"Spring, Summer, Warm Weather",L
91,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",2,Cyan Blue,"Spring, Summer, Warm Weather",M
92,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",12,Marker Check Grey Multi,"Fall, Spring, Summer, Warm Weather",XXL
93,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",7,Marker Check Grey Multi,"Fall, Spring, Summer, Warm Weather",XS
